Country;Current health expenditure (CHE) as percentage of gross domestic product (GDP) (%) (2019);Current health expenditure (CHE) per capita in US$ (2019)
Afghanistan;13.24;65.81
Albania;;
Algeria;6.24;248.21
Andorra;6.71;2744.19
Angola;2.53;71.33
Antigua and Barbuda;4.44;760.26
Argentina;9.51;945.99
Armenia;11.34;524
Australia;9.91;5427.46
Austria;10.43;5242.18
Azerbaijan;4.04;193.11
Bahamas;5.75;2004.62
Bahrain;4.01;940.4
Bangladesh;2.48;45.86
Barbados;6.3;1143.32
Belarus;5.86;399.4
Belgium;10.66;4960.39
Belize;5.97;293.41
Benin;2.39;29.13
Bhutan;3.61;115.98
Bolivia;6.92;245.92
Bosnia and Herzegovina;9.05;553.82
Botswana;6.05;481.53
Brazil;9.59;853.39
Brunei Darussalam;2.16;671.56
Bulgaria;7.13;697.9
Burkina Faso;5.46;42.34
Burundi;7.99;20.57
Cabo Verde;4.94;177.89
Cambodia;6.99;113.31
Cameroon;3.6;54
Canada;10.84;5048.37
Central African Republic;7.75;37.2
Chad;4.35;29.85
Chile;9.33;1375.8
China;5.35;535.13
Colombia;7.71;495.33
Comoros;5.17;72.32
Congo;2.08;48.56
Cook Islands;3.07;662.24
Costa Rica;7.27;921.59
Cote d'Ivoire;3.3;75.09
Croatia;6.98;1040.09
Cuba;11.34;1031.92
Cyprus;7.01;1996.46
Czechia;7.83;1844.22
Democratic Republic of the Congo;3.54;20.57
Denmark;9.96;6003.33
Djibouti;1.8;61.81
Dominica;5.46;440.17
Dominican Republic;5.93;491.06
Ecuador;7.82;486.49
Egypt;4.74;149.84
El Salvador;7.17;300.05
Equatorial Guinea;3.14;254.89
Eritrea;4.46;25.27
Estonia;6.73;1598.82
Eswatini;6.78;264.06
Ethiopia;3.24;26.74
Fiji;3.82;235.68
Finland;9.15;4450.3
France;11.06;4491.74
Gabon;2.77;215.02
Gambia;3.82;29.73
Georgia;6.66;291.12
Germany;11.7;5440.25
Ghana;3.42;75.28
Greece;7.84;1500.59
Grenada;4.97;534.27
Guatemala;6.21;271.02
Guinea;3.98;43.04
Guinea-Bissau;8.35;62.58
Guyana;4.93;325.89
Haiti;4.73;56.99
Honduras;7.28;187.55
Hungary;6.35;1062.39
Iceland;8.64;6274.96
India;3.01;63.75
Indonesia;2.9;120.12
Iran (Islamic Republic of);6.71;470.43
Iraq;4.48;253.31
Ireland;6.68;5428.59
Israel;7.46;3456.39
Italy;8.67;2905.5
Jamaica;6.1;327.4
Japan;10.74;4360.47
Jordan;7.58;334.04
Kazakhstan;2.79;272.97
Kenya;4.59;83.41
Kiribati;10.26;172.31
Kuwait;5.5;1758.67
Kyrgyzstan;4.49;62.14
Lao People's Democratic Republic;2.6;68.22
Latvia;6.58;1166.8
Lebanon;8.65;663.05
Lesotho;11.27;124.19
Liberia;8.47;52.56
Libya;;
Lithuania;7.01;1369.98
Luxembourg;5.37;6220.74
Madagascar;3.69;19.85
Malawi;7.39;30.4
Malaysia;3.83;436.61
Maldives;8.04;854.37
Mali;3.89;34.28
Malta;8.21;2531.91
Marshall Islands;16.34;664.32
Mauritania;3.3;57.88
Mauritius;6.2;685.95
Mexico;5.43;540.37
Micronesia (Federated States of);11.44;415.2
Monaco;1.53;2905.84
Mongolia;3.77;163.44
Montenegro;8.33;735.16
Morocco;5.31;174.22
Mozambique;7.83;39.46
Myanmar;4.68;60.02
Namibia;8.5;427.26
Nauru;9.78;1049.45
Nepal;4.45;53.25
Netherlands;10.13;5335.3
New Zealand;9.74;4211.05
Nicaragua;8.4;160.76
Niger;5.67;31.4
Nigeria;3.03;71.47
Niue;5.29;1011.71
Norway;10.52;8007.4
Oman;4.07;624.74
Pakistan;3.38;39.5
Palau;15.15;2355.7
Panama;7.58;1192.82
Papua New Guinea;2.3;65.08
Paraguay;7.17;388.39
Peru;5.22;370.11
Philippines;4.08;142.08
Poland;6.45;1014.04
Portugal;9.53;2221.44
Qatar;2.91;1807.15
Republic of Korea;8.16;2624.53
Republic of Moldova;6.38;284.31
North Macedonia;7.25;436.89
Romania;5.74;738.56
Russian Federation;5.65;653.42
Rwanda;6.41;51.4
Saint Kitts and Nevis;5.4;1087.8
Saint Lucia;4.32;502.18
Saint Vincent and the Grenadines;4.75;354.81
Samoa;6.36;271.92
San Marino;6.39;3050.92
Sao Tome and Principe;5.53;108.45
Saudi Arabia;5.69;1316.26
Senegal;4.13;59.1
Serbia;8.67;641.03
Seychelles;5.19;839.77
Sierra Leone;8.75;46.16
Singapore;4.08;2632.71
Slovakia;6.96;1342.07
Slovenia;8.52;2219.1
Solomon Islands;4.77;111.9
South Africa;9.11;546.69
South Sudan;6.04;22.64
Spain;9.13;2711.19
Sri Lanka;4.08;160.7
Sudan;4.57;46.93
Suriname;9.74;619.25
Sweden;10.87;5671.39
Switzerland;11.29;9666.34
Syrian Arab Republic;;
Tajikistan;7.11;61.87
Thailand;3.79;296.17
Timor-Leste;7.16;92.67
Togo;5.73;51.16
Tonga;4.98;242.37
Trinidad and Tobago;7.02;1167.93
Tunisia;6.96;233.06
Turkey;4.34;396.47
Turkmenistan;6.57;500.01
Tuvalu;23.96;972.61
Uganda;3.83;32.41
Ukraine;7.1;248.13
United Arab Emirates;4.28;1842.69
United Kingdom of Great Britain and Northern Ireland;10.15;4312.89
United Republic of Tanzania;3.83;40.34
United States of America;16.77;10921.01
Uruguay;9.35;1660.95
Uzbekistan;5.62;98.57
Vanuatu;3.36;104.25
Venezuela (Bolivarian Republic of);5.37;338.83
Viet Nam;5.25;180.72
Yemen;;
Zambia;5.31;69.32
Zimbabwe;7.7;103.03