Equipos;Media_Goles_Locales;Media_Puntos_Locales;Media_Goles_Visitantes;Goles_Favor;Goles_Contra;Diferencia_Goles_Total;Puntos;Posicion;Media_Puntos_Visitantes;Temporada
Málaga;1.37;1.58;0.63;38;35;3;48;8;0.95;2015/2016
Atlético;1.74;2.53;1.58;63;18;45;88;3;2.10;2015/2016
Espanyol;1.16;1.68;0.95;40;74;34;43;14;0.58;2015/2016
Deportivo;1.32;1.05;1.05;45;61;16;42;15;1.16;2015/2016
Rayo;1.53;1.47;1.21;52;73;21;38;18;0.53;2015/2016
Athletic;1.84;1.95;1.21;58;45;13;62;5;1.32;2015/2016
Betis;0.89;1.26;0.89;34;52;18;45;10;1.11;2015/2016
Levante;1.21;1.37;0.74;37;70;33;32;20;0.32;2015/2016
Sporting Gijón;1.47;1.32;0.63;40;62;22;39;17;0.74;2015/2016
Granada;1.37;1.21;1.05;46;69;23;39;16;0.84;2015/2016
Villarreal;1.37;2.11;0.95;44;35;9;64;4;1.26;2015/2016
Barcelona;3.52;2.58;2.37;112;29;83;91;1;2.21;2015/2016
Celta;1.52;1.74;1.16;51;59;8;60;6;1.16;2015/2016
Real Madrid;3.68;2.58;2.11;110;34;76;90;2;2.16;2015/2016
R. Sociedad;1.15;1.37;1.47;45;48;3;48;9;1.16;2015/2016
Eibar;1.37;1.53;1.21;49;61;12;43;13;0.74;2015/2016
Getafe;1.21;1.32;0.74;37;67;30;36;19;0.58;2015/2016
Las Palmas;1.31;1.53;1.05;45;53;8;44;11;0.79;2015/2016
Sevilla;2.00;2.26;0.68;51;50;1;52;7;0.47;2015/2016
Valencia;1.31;1.32;1.11;46;48;2;44;12;1.00;2015/2016
Deportivo;1.42;1.37;0.84;43;61;18;36;16;0.53;2016/2017
Málaga;1.68;1.68;0.89;49;55;6;46;11;0.74;2016/2017
Barcelona;3.36;2.53;2.74;116;37;79;90;2;2.21;2016/2017
Granada;0.89;0.84;0.68;30;82;52;20;20;0.21;2016/2017
Sevilla;2.05;2.42;1.58;69;49;20;72;4;1.37;2016/2017
Atlético;2.1;2.32;1.58;70;27;43;78;3;1;2016/2017
R. Sociedad;1.58;1.84;1.53;59;53;6;64;6;1.53;2016/2017
Sporting Gijón;1.37;1.00;0.84;42;72;30;31;18;0.63;2016/2017
Celta;1.58;1.53;1.11;53;69;16;45;13;1.21;2016/2017
Valencia;1.68;1.47;1.26;56;65;9;46;12;0.94;2016/2017
Betis;1.16;1.32;1.00;41;64;23;39;15;0.74;2016/2017
Espanyol;1.47;1.52;1.11;49;50;1;56;8;1.42;2016/2017
Eibar;1.53;1.74;1.42;56;51;5;54;10;1.11;2016/2017
Leganés;1.16;1.11;0.74;36;55;19;35;17;0.74;2016/2017
Osasuna;1.21;0.68;0.89;40;94;54;22;19;0.47;2016/2017
Real Madrid;2.53;2.42;3.05;106;41;65;93;1;2.47;2016/2017
Alavés;1.00;1.53;1.16;41;43;2;55;9;0.95;2016/2017
Athletic;1.89;2.26;0.89;53;43;10;63;7;1.32;2016/2017
Las Palmas;1.74;1.74;1.05;53;74;21;39;14;0.32;2016/2017
Villarreal;1.84;1.95;1.11;56;33;23;67;5;1.58;2016/2017
Leganés;1.00;1.63;0.79;34;51;17;43;17;0.63;2017/2018
Valencia;1.89;2.21;1.53;65;38;27;73;4;1.63;2017/2018
Celta;1.79;1.68;1.31;59;60;1;49;13;1.32;2017/2018
Girona;1.37;1.42;1.26;50;59;9;51;10;1.26;2017/2018
Sevilla;1.63;2.00;0.95;49;58;9;58;7;1.05;2017/2018
Athletic;1.00;1.36;1.15;41;49;8;43;16;0.89;2017/2018
Barcelona;2.79;2.68;2.42;99;29;70;93;1;2.21;2017/2018
Deportivo;1.16;0.95;0.84;38;76;38;29;18;0.57;2017/2018
Levante;1.32;1.42;1.00;44;58;14;46;15;1.00;2017/2018
Málaga;0.73;0.79;0.53;24;61;37;20;20;0.26;2017/2018
Betis;1.84;1.79;1.32;60;61;1;60;6;1.37;2017/2018
R. Sociedad;2.47;1.74;1.00;66;59;7;49;12;0.84;2017/2018
Alavés;1.10;1.47;1.00;40;50;10;47;14;1.00;2017/2018
Las Palmas;0.78;0.74;0.47;24;74;50;22;19;0.42;2017/2018
Eibar;1.36;1.47;0.95;44;50;6;51;51;1.21;2017/2018
Espanyol;1.05;1.58;0.84;36;42;6;49;11;1.00;2017/2018
Getafe;1.36;1.63;0.84;42;33;9;55;8;1.26;2017/2018
Real Madrid;2.84;2.11;2.11;94;44;50;76;3;1.89;2017/2018
Villarreal;1.84;1.89;1.16;57;50;7;61;5;1.32;2017/2018
Atlético;1.58;2.21;1.47;58;22;36;79;2;1.95;2017/2018
Betis;1.32;1.53;1.00;44;52;8;50;10;1.11;2018/2019
Girona;0.89;0.79;1.05;37;53;16;37;18;1.16;2018/2019
Barcelona;2.68;2.53;2.05;90;36;54;87;1;2.05;2018/2019
Celta;1.63;1.53;1.16;53;62;9;41;17;1.16;2018/2019
Villarreal;1.47;1.21;1.11;49;52;3;44;14;1.11;2018/2019
Eibar;1.63;1.74;0.79;46;50;4;47;12;0.74;2018/2019
Real Madrid;1.68;2.11;1.63;63;46;17;68;3;1.47;2018/2019
Rayo;1.31;1.11;0.84;41;70;29;32;20;0.58;2018/2019
Athletic;1.37;1.84;0.79;41;45;4;53;8;0.95;2018/2019
Valencia;1.26;1.63;1.42;51;35;16;61;4;1.58;2018/2019
Getafe;1.47;1.89;1.05;48;35;13;59;5;1.21;2018/2019
Leganés;1.00;1.53;0.95;37;43;6;45;13;0.84;2018/2019
Alavés;1.00;1.53;1.05;39;50;11;50;11;1.11;2018/2019
Atlético;1.68;2.53;1.21;55;29;26;76;2;1.47;2018/2019
Real Valladolid;0.84;1.05;0.84;32;51;19;41;16;1.11;2018/2019
Espanyol;1.47;1.89;1.05;48;50;2;53;7;0.89;2018/2019
Sevilla;2.05;2.05;1.21;62;47;15;59;6;1.05;2018/2019
Levante;1.79;1.32;1.32;59;66;7;44;15;1.00;2018/2019
Huesca;1.26;1.11;1.00;43;65;22;33;19;0.63;2018/2019
R. Sociedad;1.21;1.42;1.16;45;46;1;50;9;1.21;2018/2019
Athletic;1.10;1.63;1.05;41;38;3;51;11;1.05;2019/2020
Celta;1.16;1.21;0.78;37;49;12;37;17;0.79;2019/2020
Valencia;1.53;2.10;0.89;46;53;7;53;9;0.68;2019/2020
Mallorca;1.32;1.42;0.79;40;65;25;33;19;0.32;2019/2020
Villarreal;1.95;1.68;1.37;63;49;14;60;4;1.47;2019/2020
Leganés;0.89;1.05;0.68;30;51;21;36;18;0.84;2019/2020
Alavés;1.05;1.42;0.74;34;59;25;39;16;0.63;2019/2020
Espanyol;0.78;0.63;0.63;27;58;31;25;20;0.68;2019/2020
Betis;1.79;1.63;0.74;48;60;12;41;15;0.53;2019/2020
Atlético;1.47;2.21;1.21;51;27;24;70;3;1.47;2019/2020
Granada;1.37;1.74;1.37;52;45;7;56;7;1.21;2019/2020
Levante;1.42;1.68;1.05;47;53;6;49;12;0.89;2019/2020
Osasuna;1.37;1.47;1.05;46;54;8;52;10;1.26;2019/2020
Real Madrid;2.10;2.58;1.58;70;25;45;87;1;2.00;2019/2020
Getafe;1.32;1.58;0.95;43;37;6;54;8;1.26;2019/2020
Barcelona;2.74;2.63;1.79;86;38;48;82;2;1.68;2019/2020
Sevilla;1.37;1.95;1.47;54;34;20;70;4;1.74;2019/2020
R. Sociedad;1.74;1.63;1.21;56;48;8;56;6;1.32;2019/2020
Eibar;1.31;1.42;0.74;39;56;17;42;14;0.79;2019/2020
Real Valladolid;0.95;1.32;0.74;32;43;11;42;13;0.89;2019/2020
Eibar;0.63;0.68;0.89;29;52;23;30;20;0.89;2020/2021
Granada;1.32;1.63;1.16;47;65;18;46;9;0.79;2020/2021
Cádiz;0.89;1.05;1.00;36;58;22;44;12;1.26;2020/2021
Alavés;1.10;1.26;0.79;36;57;21;38;16;0.74;2020/2021
Real Valladolid;1.00;0.84;0.79;34;57;23;31;19;0.79;2020/2021
Villarreal;1.53;1.58;1.63;60;44;16;58;7;1.47;2020/2021
Valencia;1.79;1.63;0.84;50;53;3;43;13;0.63;2020/2021
Atlético;2.16;2.53;1.37;67;25;42;86;1;2.00;2020/2021
Real Madrid;1.74;2.21;1.79;67;28;39;84;2;2.21;2020/2021
Barcelona;2.32;2.00;2.16;85;38;47;79;3;2.15;2020/2021
Getafe;0.78;1.26;0.68;28;43;15;38;15;0.74;2020/2021
Celta;1.58;1.58;1.31;55;57;2;53;8;1.32;2020/2021
Huesca;0.89;1.16;0.89;34;53;19;34;18;0.63;2020/2021
Betis;1.42;1.84;1.21;50;50;0;61;6;1.37;2020/2021
R. Sociedad;1.79;1.74;1.31;59;38;21;62;5;1.53;2020/2021
Athletic;1.53;1.58;0.89;46;42;4;46;10;0.84;2020/2021
Levante;1.42;1.26;1.00;46;57;11;41;14;0.89;2020/2021
Sevilla;1.42;2.26;1.37;53;33;20;77;4;1.79;2020/2021
Elche;0.95;1.21;0.84;34;55;21;36;17;0.68;2020/2021
Osasuna;1.10;1.37;0.84;37;48;11;44;11;0.95;2020/2021
Valencia;1.37;1.37;1.16;48;53;5;48;9;1.16;2021/2022
Cádiz;1.00;0.95;0.84;35;51;16;39;17;1.11;2021/2022
Mallorca;1.05;1.42;0.84;36;63;27;39;16;0.63;2021/2022
Alavés;0.89;1.31;0.74;31;65;34;31;20;0.32;2021/2022
Osasuna;0.89;1.16;1.05;37;51;14;47;10;1.32;2021/2022
Celta;1.37;1.32;0.89;43;43;0;46;11;1.11;2021/2022
Barcelona;1.95;2.00;1.63;68;38;30;73;2;1.84;2021/2022
Sevilla;1.89;2.21;0.89;53;30;23;70;4;1.47;2021/2022
Villarreal;2.11;1.89;1.21;63;37;26;59;7;1.21;2021/2022
Elche;1.26;1.42;0.84;40;52;12;42;13;0.79;2021/2022
Betis;1.79;1.68;1.47;62;40;22;65;5;1.74;2021/2022
Espanyol;1.32;1.74;0.79;40;53;13;42;14;0.47;2021/2022
Granada;1.16;1.16;1.16;44;61;17;38;18;0.84;2021/2022
Athletic;1.53;1.79;0.74;43;36;7;55;8;1.11;2021/2022
R. Sociedad;0.84;1.84;1.26;40;37;3;62;6;1.42;2021/2022
Atlético;1.74;2.16;1.68;65;43;22;71;3;1.58;2021/2022
Levante;1.47;1.16;1.21;51;76;25;35;19;0.68;2021/2022
Getafe;1.11;1.47;0.63;33;41;8;39;15;0.58;2021/2022
Rayo;1.37;1.53;0.68;39;50;11;42;12;0.68;2021/2022
Real Madrid;2.31;2.31;1.89;80;31;49;86;1;2.21;2021/2022
